,raw_path,output_path,height,length,label
0,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0077.flac,./processed_data\106\106_003_0077.npy,201,952,106
1,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0098.flac,./processed_data\106\106_003_0098.npy,201,465,106
2,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0161.flac,./processed_data\106\106_003_0161.npy,201,536,106
3,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0199.flac,./processed_data\106\106_003_0199.npy,201,1034,106
4,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0238.flac,./processed_data\106\106_003_0238.npy,201,606,106
5,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0304.flac,./processed_data\106\106_003_0304.npy,201,739,106
6,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0325.flac,./processed_data\106\106_003_0325.npy,201,504,106
7,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0354.flac,./processed_data\106\106_003_0354.npy,201,1061,106
8,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0596.flac,./processed_data\106\106_003_0596.npy,201,955,106
9,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0654.flac,./processed_data\106\106_003_0654.npy,201,636,106
10,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0666.flac,./processed_data\106\106_003_0666.npy,201,526,106
11,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0753.flac,./processed_data\106\106_003_0753.npy,201,610,106
12,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0787.flac,./processed_data\106\106_003_0787.npy,201,469,106
13,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0816.flac,./processed_data\106\106_003_0816.npy,201,796,106
14,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_0931.flac,./processed_data\106\106_003_0931.npy,201,868,106
15,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1085.flac,./processed_data\106\106_003_1085.npy,201,1139,106
16,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1167.flac,./processed_data\106\106_003_1167.npy,201,1290,106
17,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1191.flac,./processed_data\106\106_003_1191.npy,201,446,106
18,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1208.flac,./processed_data\106\106_003_1208.npy,201,778,106
19,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1305.flac,./processed_data\106\106_003_1305.npy,201,287,106
20,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1326.flac,./processed_data\106\106_003_1326.npy,201,649,106
21,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1376.flac,./processed_data\106\106_003_1376.npy,201,634,106
22,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1401.flac,./processed_data\106\106_003_1401.npy,201,732,106
23,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1418.flac,./processed_data\106\106_003_1418.npy,201,495,106
24,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1720.flac,./processed_data\106\106_003_1720.npy,201,456,106
25,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1749.flac,./processed_data\106\106_003_1749.npy,201,535,106
26,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1753.flac,./processed_data\106\106_003_1753.npy,201,1089,106
27,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_1848.flac,./processed_data\106\106_003_1848.npy,201,826,106
28,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2020.flac,./processed_data\106\106_003_2020.npy,201,732,106
29,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2034.flac,./processed_data\106\106_003_2034.npy,201,355,106
30,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2041.flac,./processed_data\106\106_003_2041.npy,201,444,106
31,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2058.flac,./processed_data\106\106_003_2058.npy,201,396,106
32,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2072.flac,./processed_data\106\106_003_2072.npy,201,528,106
33,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2135.flac,./processed_data\106\106_003_2135.npy,201,676,106
34,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2225.flac,./processed_data\106\106_003_2225.npy,201,528,106
35,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2324.flac,./processed_data\106\106_003_2324.npy,201,682,106
36,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2499.flac,./processed_data\106\106_003_2499.npy,201,999,106
37,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2844.flac,./processed_data\106\106_003_2844.npy,201,1020,106
38,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2880.flac,./processed_data\106\106_003_2880.npy,201,764,106
39,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\106\106_003_2917.flac,./processed_data\106\106_003_2917.npy,201,599,106
40,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0075.flac,./processed_data\107\107_003_0075.npy,201,949,107
41,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0141.flac,./processed_data\107\107_003_0141.npy,201,527,107
42,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0145.flac,./processed_data\107\107_003_0145.npy,201,620,107
43,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0220.flac,./processed_data\107\107_003_0220.npy,201,741,107
44,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0248.flac,./processed_data\107\107_003_0248.npy,201,871,107
45,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0264.flac,./processed_data\107\107_003_0264.npy,201,593,107
46,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0303.flac,./processed_data\107\107_003_0303.npy,201,1181,107
47,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0307.flac,./processed_data\107\107_003_0307.npy,201,733,107
48,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0308.flac,./processed_data\107\107_003_0308.npy,201,591,107
49,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0313.flac,./processed_data\107\107_003_0313.npy,201,523,107
50,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0317.flac,./processed_data\107\107_003_0317.npy,201,904,107
51,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0334.flac,./processed_data\107\107_003_0334.npy,201,877,107
52,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0343.flac,./processed_data\107\107_003_0343.npy,201,544,107
53,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0367.flac,./processed_data\107\107_003_0367.npy,201,531,107
54,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0389.flac,./processed_data\107\107_003_0389.npy,201,694,107
55,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0466.flac,./processed_data\107\107_003_0466.npy,201,750,107
56,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0571.flac,./processed_data\107\107_003_0571.npy,201,620,107
57,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0641.flac,./processed_data\107\107_003_0641.npy,201,1201,107
58,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0643.flac,./processed_data\107\107_003_0643.npy,201,1303,107
59,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0678.flac,./processed_data\107\107_003_0678.npy,201,486,107
60,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0680.flac,./processed_data\107\107_003_0680.npy,201,1120,107
61,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0823.flac,./processed_data\107\107_003_0823.npy,201,662,107
62,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0872.flac,./processed_data\107\107_003_0872.npy,201,587,107
63,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0934.flac,./processed_data\107\107_003_0934.npy,201,485,107
64,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_0999.flac,./processed_data\107\107_003_0999.npy,201,690,107
65,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1076.flac,./processed_data\107\107_003_1076.npy,201,885,107
66,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1127.flac,./processed_data\107\107_003_1127.npy,201,627,107
67,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1274.flac,./processed_data\107\107_003_1274.npy,201,876,107
68,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1282.flac,./processed_data\107\107_003_1282.npy,201,663,107
69,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1374.flac,./processed_data\107\107_003_1374.npy,201,539,107
70,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1434.flac,./processed_data\107\107_003_1434.npy,201,750,107
71,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1507.flac,./processed_data\107\107_003_1507.npy,201,903,107
72,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1563.flac,./processed_data\107\107_003_1563.npy,201,500,107
73,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1571.flac,./processed_data\107\107_003_1571.npy,201,1110,107
74,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1669.flac,./processed_data\107\107_003_1669.npy,201,1070,107
75,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1703.flac,./processed_data\107\107_003_1703.npy,201,677,107
76,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1795.flac,./processed_data\107\107_003_1795.npy,201,796,107
77,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1897.flac,./processed_data\107\107_003_1897.npy,201,482,107
78,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1900.flac,./processed_data\107\107_003_1900.npy,201,728,107
79,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_1969.flac,./processed_data\107\107_003_1969.npy,201,1033,107
80,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2053.flac,./processed_data\107\107_003_2053.npy,201,1267,107
81,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2085.flac,./processed_data\107\107_003_2085.npy,201,555,107
82,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2127.flac,./processed_data\107\107_003_2127.npy,201,967,107
83,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2157.flac,./processed_data\107\107_003_2157.npy,201,500,107
84,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2182.flac,./processed_data\107\107_003_2182.npy,201,1002,107
85,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2190.flac,./processed_data\107\107_003_2190.npy,201,743,107
86,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2270.flac,./processed_data\107\107_003_2270.npy,201,1064,107
87,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2289.flac,./processed_data\107\107_003_2289.npy,201,669,107
88,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2351.flac,./processed_data\107\107_003_2351.npy,201,929,107
89,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2513.flac,./processed_data\107\107_003_2513.npy,201,735,107
90,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2528.flac,./processed_data\107\107_003_2528.npy,201,1034,107
91,C:\Users\Jonathan\Documents\datasets\audio\korean-audio\train_data_01\003\107\107_003_2546.flac,./processed_data\107\107_003_2546.npy,201,744,107
